threshold,FP,FN,TP,TN,alert_fraction,MCC
0.000,100000000,0,5,1,1.000,0.000
0.010,138,0,5,57,0.714,0.043
0.020,127,0,5,72,0.645,0.049
0.030,131,0,5,85,0.614,0.052
0.040,138,0,5,99,0.590,0.055
0.050,132,0,5,102,0.572,0.057
0.060,128,0,5,105,0.557,0.058
0.070,130,0,5,113,0.543,0.060
0.080,127,0,5,118,0.527,0.062
0.090,122,0,5,119,0.515,0.064
0.100,114,0,5,119,0.499,0.065
0.110,113,0,5,124,0.488,0.067
0.120,111,0,5,126,0.478,0.068
0.130,106,0,5,127,0.466,0.070
0.140,108,0,5,135,0.454,0.071
0.150,109,0,5,139,0.449,0.072
0.160,112,0,5,147,0.442,0.074
0.170,113,0,5,153,0.434,0.075
0.180,113,0,5,158,0.427,0.076
0.190,116,0,5,165,0.422,0.077
0.200,116,0,5,169,0.416,0.078
0.210,117,0,5,175,0.410,0.080
0.220,118,0,5,182,0.402,0.081
0.230,122,0,5,194,0.395,0.083
0.240,126,0,5,205,0.389,0.084
0.250,124,0,5,207,0.384,0.085
0.260,127,0,5,215,0.380,0.087
0.270,133,0,5,231,0.373,0.088
0.280,132,0,5,236,0.366,0.090
0.290,128,0,5,237,0.359,0.091
0.300,128,0,5,243,0.353,0.093
0.310,128,0,5,248,0.349,0.094
0.320,123,0,5,246,0.342,0.096
0.330,125,0,5,257,0.335,0.097
0.340,125,0,5,262,0.331,0.099
0.350,125,0,5,269,0.326,0.100
0.360,129,0,5,283,0.321,0.102
0.370,129,0,5,291,0.315,0.103
0.380,130,0,5,299,0.311,0.105
0.390,132,0,5,313,0.304,0.106
0.400,129,0,5,320,0.295,0.108
0.410,124,0,5,324,0.284,0.111
0.420,122,0,5,331,0.277,0.112
0.430,119,0,5,332,0.271,0.114
0.440,118,0,5,344,0.263,0.116
0.450,116,0,5,351,0.256,0.118
0.460,112,0,5,350,0.250,0.119
0.470,110,0,5,352,0.246,0.121
0.480,107,0,5,350,0.242,0.122
0.490,104,0,5,351,0.236,0.124
0.500,102,0,5,352,0.233,0.125
0.510,103,0,5,364,0.229,0.127
0.520,103,0,5,377,0.222,0.130
0.530,99,0,5,384,0.213,0.132
0.540,97,0,5,387,0.208,0.134
0.550,95,0,5,389,0.204,0.136
0.560,86,0,5,371,0.197,0.138
0.570,83,0,5,368,0.193,0.141
0.580,80,0,5,369,0.187,0.142
0.590,82,0,5,381,0.186,0.144
0.600,79,0,5,377,0.182,0.145
0.610,79,0,5,385,0.179,0.147
0.620,78,0,5,387,0.176,0.149
0.630,75,0,5,383,0.173,0.151
0.640,79,0,5,409,0.170,0.153
0.650,77,0,5,414,0.165,0.156
0.660,76,0,5,423,0.161,0.159
0.670,73,0,5,417,0.157,0.162
0.680,72,0,5,423,0.154,0.164
0.690,72,0,5,435,0.150,0.168
0.700,73,0,5,452,0.147,0.171
0.710,77,0,5,487,0.144,0.174
0.720,77,0,5,511,0.138,0.180
0.730,75,0,5,518,0.134,0.184
0.740,70,0,5,519,0.126,0.191
0.750,65,0,5,510,0.121,0.197
0.760,65,0,5,531,0.116,0.201
0.770,65,0,5,550,0.113,0.206
0.780,66,0,5,579,0.109,0.212
0.790,64,0,5,580,0.106,0.217
0.800,60,0,5,600,0.098,0.228
0.810,54,0,5,588,0.091,0.236
0.820,48,0,5,583,0.083,0.248
0.830,45,0,5,607,0.076,0.263
0.840,43,0,5,626,0.071,0.276
0.850,40,0,5,634,0.066,0.289
0.860,38,0,5,692,0.058,0.313
0.870,32,0,5,688,0.051,0.341
0.880,33,0,5,820,0.044,0.372
0.890,28,0,5,852,0.037,0.414
0.900,23,0,5,950,0.029,0.464
0.910,16,0,5,979,0.021,0.549
0.920,14,0,5,1039,0.018,0.613
0.930,7,0,5,1053,0.011,0.790
0.940,2,0,5,913,0.008,0.877
0.950,2,0,5,993,0.007,0.913
0.960,0,0,5,933,0.005,1.000
0.970,0,0,5,933,0.005,1.000
0.980,0,0,5,933,0.005,1.000
0.990,0,0,5,1021,0.005,0.922
1.000,0,5,0,100000000,0.000,0.000
