threshold,FP,FN,TP,TN,alert_fraction,MCC
0.000,100000000,0,5,1,1.000,0.000
0.010,133,0,5,67,0.673,0.046
0.020,135,0,5,80,0.634,0.050
0.030,129,0,5,87,0.606,0.052
0.040,128,0,5,95,0.583,0.054
0.050,126,0,5,100,0.566,0.056
0.060,124,0,5,106,0.547,0.058
0.070,117,0,5,109,0.528,0.060
0.080,111,0,5,110,0.513,0.062
0.090,107,0,5,111,0.501,0.063
0.100,104,0,5,113,0.490,0.064
0.110,98,0,5,112,0.479,0.065
0.120,95,0,5,111,0.473,0.066
0.130,93,0,5,112,0.465,0.067
0.140,89,0,5,110,0.459,0.068
0.150,89,0,5,113,0.454,0.069
0.160,85,0,5,112,0.445,0.070
0.170,86,0,5,115,0.440,0.070
0.180,87,0,5,119,0.435,0.071
0.190,88,0,5,122,0.431,0.072
0.200,89,0,5,126,0.427,0.072
0.210,90,0,5,129,0.424,0.072
0.220,87,0,5,127,0.420,0.073
0.230,89,0,5,131,0.417,0.074
0.240,91,0,5,136,0.413,0.074
0.250,89,0,5,135,0.410,0.075
0.260,89,0,5,137,0.407,0.075
0.270,88,0,5,137,0.404,0.076
0.280,88,0,5,138,0.402,0.076
0.290,89,0,5,141,0.399,0.077
0.300,90,0,5,144,0.396,0.077
0.310,90,0,5,146,0.393,0.078
0.320,90,0,5,148,0.391,0.079
0.330,90,0,5,150,0.387,0.079
0.340,88,0,5,149,0.383,0.080
0.350,89,0,5,154,0.379,0.081
0.360,88,0,5,155,0.374,0.082
0.370,86,0,5,155,0.369,0.083
0.380,88,0,5,160,0.367,0.084
0.390,90,0,5,167,0.362,0.085
0.400,93,0,5,177,0.356,0.086
0.410,99,0,5,192,0.351,0.088
0.420,102,0,5,202,0.345,0.090
0.430,99,0,5,202,0.339,0.091
0.440,104,0,5,217,0.334,0.093
0.450,107,0,5,230,0.327,0.096
0.460,111,0,5,247,0.319,0.098
0.470,110,0,5,256,0.310,0.100
0.480,110,0,5,268,0.300,0.103
0.490,108,0,5,276,0.290,0.106
0.500,106,0,5,282,0.282,0.109
0.510,110,0,5,303,0.275,0.111
0.520,112,0,5,319,0.268,0.113
0.530,111,0,5,328,0.261,0.116
0.540,107,0,5,330,0.253,0.119
0.550,102,0,5,333,0.243,0.122
0.560,105,0,5,359,0.234,0.125
0.570,98,0,5,358,0.223,0.129
0.580,96,0,5,371,0.214,0.132
0.590,93,0,5,380,0.205,0.136
0.600,93,0,5,401,0.196,0.141
0.610,93,0,5,424,0.188,0.146
0.620,94,0,5,454,0.179,0.150
0.630,90,0,5,466,0.169,0.155
0.640,89,0,5,482,0.163,0.160
0.650,84,0,5,482,0.156,0.166
0.660,77,0,5,484,0.145,0.172
0.670,76,0,5,505,0.138,0.178
0.680,75,0,5,523,0.133,0.184
0.690,71,0,5,537,0.124,0.190
0.700,65,0,5,538,0.115,0.197
0.710,57,0,5,519,0.107,0.205
0.720,55,0,5,537,0.100,0.212
0.730,55,0,5,571,0.095,0.221
0.740,53,0,5,593,0.089,0.232
0.750,50,0,5,604,0.083,0.242
0.760,45,0,5,620,0.075,0.257
0.770,37,0,5,602,0.065,0.273
0.780,35,0,5,601,0.062,0.284
0.790,34,0,5,614,0.060,0.297
0.800,33,0,5,631,0.057,0.309
0.810,32,0,5,669,0.052,0.326
0.820,31,0,5,691,0.049,0.340
0.830,32,0,5,781,0.045,0.362
0.840,29,0,5,796,0.041,0.383
0.850,28,0,5,845,0.038,0.407
0.860,27,0,5,941,0.033,0.442
0.870,27,0,5,1009,0.031,0.469
0.880,21,0,5,1055,0.024,0.525
0.890,17,0,5,1048,0.021,0.566
0.900,12,0,5,989,0.017,0.607
0.910,11,0,5,1114,0.014,0.681
0.920,6,0,5,1036,0.011,0.755
0.930,4,0,5,1066,0.008,0.860
0.940,2,0,5,1015,0.007,0.913
0.950,1,0,5,955,0.006,0.932
0.960,1,0,5,979,0.006,0.953
0.970,0,0,5,933,0.005,1.000
0.980,0,0,5,933,0.005,0.975
0.990,0,0,5,1090,0.005,0.806
1.000,0,5,0,100000000,0.000,0.000
